,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,148,61,34,57,0.6833333333333333,0.6263736263736264,0.5454545454545454
1,Random Forest Classifier,181,28,58,33,0.7133333333333334,0.3626373626373626,0.4342105263157895
2,Gaussian Naive Bayes,88,121,22,69,0.5233333333333333,0.7582417582417582,0.49110320284697506
3,Stochastic Gradient Descent Classifier,49,160,5,86,0.45,0.945054945054945,0.5103857566765578
4,Decision Tree Classifier,167,42,56,35,0.6733333333333333,0.38461538461538464,0.41666666666666663
5,XGB Classifier,179,30,47,44,0.7433333333333333,0.4835164835164835,0.5333333333333334
6,Gradient Boosting Classifier,172,37,51,40,0.7066666666666667,0.43956043956043955,0.47619047619047616
